,host_id,state,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,room_type,accommodates,bathrooms_text,bedrooms,beds,has_availability,number_of_reviews_ltm,review_scores_rating,instant_bookable,calculated_host_listings_count,reviews_per_month,essentials,other_amenities,hotel_room_revenue,host_experience,total_bookings
38,70681,California,0,100,77,1,1,1,0,5.5,2.25,3,4,1,3.5,4.945,0,2.0,0.6,1,34,104417.9104477612,4343.5,10.44776119402985
39,76408,California,1,100,67,0,1,1,0,3.5,1.5,1,1,1,2.5,4.8225,0,5.0,0.1875,1,18,30246.26865671642,4327.0,14.925373134328359
40,77857,California,0,100,96,1,1,1,0,2.0,1.0,1,1,1,28.0,4.91,0,1.0,5.23,1,38,16173.13432835821,4322.0,41.791044776119406
41,78804,California,1,100,79,1,1,1,0,3.3333333333333335,1.0,1,1,1,0.8333333333333334,4.776666666666666,1,6.0,0.87,1,25,28656.716417910444,4319.666666666667,7.462686567164178
42,79697,California,0,100,100,1,1,1,2,2.0,1.0,1,1,1,13.5,4.92,1,2.0,5.7,1,68,15134.328358208955,4317.0,40.298507462686565
43,81287,California,0,100,88,0,1,1,0,4.0,1.0,1,2,1,1.0,5.0,0,1.0,1.0,1,39,187.16417910447763,4312.0,1.492537313432836
44,84714,California,0,100,99,1,1,1,0,2.0,1.0,1,1,1,45.0,4.97,0,1.0,3.98,1,60,26194.02985074627,4305.0,67.16417910447761
45,85547,California,1,69,43,0,1,1,0,6.0,1.0,2,3,1,0.0,5.0,0,1.0,0.11,1,37,0.0,4303.0,0.0
46,94038,California,0,100,99,1,1,1,0,2.0,1.0,1,1,1,59.0,4.92,1,1.0,2.37,0,18,16555.223880597016,4285.0,88.05970149253731
47,95057,California,0,100,96,0,1,0,0,3.0,1.0,2,2,1,16.0,4.79,0,1.0,0.64,1,64,99582.08955223882,4284.0,23.880597014925375
48,95286,California,0,100,50,0,1,1,0,6.0,2.0,2,2,1,0.0,4.25,0,1.0,1.44,1,32,0.0,4282.0,0.0
49,95543,California,0,100,97,1,1,1,0,3.5,1.0,1,1,1,18.4,4.724,1,10.0,2.064,1,35,301490.14925373136,4280.9,274.6268656716418
50,95583,California,0,100,80,1,1,1,0,2.0,1.0,1,2,1,23.0,4.75,0,1.0,2.2,1,27,2677.6119402985073,4282.0,34.32835820895522
51,98565,California,0,100,87,1,1,0,0,5.0,1.0,2,2,1,25.0,4.97,0,1.0,1.87,0,27,341417.9104477612,4276.0,37.3134328358209
52,102117,California,3,0,0,0,1,1,2,4.0,1.5,2,3,1,0.0,4.88,0,1.0,0.18,1,47,0.0,4268.0,0.0
53,103790,California,0,100,99,1,1,1,2,2.0,1.0,1,1,1,51.0,4.85,0,1.0,4.99,1,39,11417.910447761195,4263.0,76.11940298507463
54,107275,California,3,0,92,0,1,1,0,4.0,2.0,2,2,1,1.0,4.54,0,1.0,2.45,1,29,17014.92537313433,4256.0,1.492537313432836
55,107370,California,3,33,50,0,1,1,0,1.0,1.0,1,1,1,1.0,4.37,0,2.0,0.19,1,34,4164.179104477612,4256.0,1.492537313432836
56,107382,California,0,100,64,0,1,1,0,2.0,1.0,0,1,1,1.0,4.55,0,1.0,0.43,1,30,2220.89552238806,4257.0,1.492537313432836
57,113524,Florida,0,100,88,1,1,1,0,3.0,1.5,1,1,1,2.0,4.71,0,2.0,0.28,1,41,17597.014925373132,4261.0,5.970149253731343
58,114555,California,0,100,90,1,1,1,0,2.0,1.0,0,2,1,13.0,4.96,0,1.0,1.77,1,67,14746.268656716418,4242.0,19.402985074626866
59,118556,Florida,1,100,100,0,1,1,2,2.0,1.0,1,1,1,0.0,4.75,0,1.0,0.06,1,38,0.0,4252.0,0.0
60,120950,California,0,100,92,1,1,1,0,4.0,1.0,0,3,1,52.0,4.86,0,1.0,4.55,1,52,8925.373134328358,4230.0,77.61194029850746
61,123515,California,2,100,40,0,1,1,0,4.0,1.0,2,3,1,0.0,5.0,0,1.0,0.05,1,38,0.0,4227.0,0.0
62,129166,California,0,100,100,1,1,1,2,1.3333333333333333,1.0,1,1,1,2.3333333333333335,4.83,1,5.0,0.7466666666666667,1,34,16298.507462686568,4217.666666666667,10.447761194029852
63,129655,California,1,100,45,0,1,1,0,2.0,1.3333333333333333,1,1,1,4.333333333333333,4.75,0,3.0,1.4933333333333334,1,40,47417.9104477612,4218.0,19.402985074626866
64,130355,California,0,100,100,1,1,0,0,2.0,1.0,0,2,1,28.0,4.91,0,1.0,2.43,1,30,23737.31343283582,4216.0,41.791044776119406
65,135271,California,0,100,91,1,1,0,0,5.0,1.5,2,3,1,65.0,4.89,0,1.0,4.1,1,31,15522.388059701494,4209.0,97.01492537313433
66,136639,Florida,0,100,90,1,1,1,0,14.0,6.0,7,12,1,7.0,5.0,0,1.0,2.76,1,49,37635.970149253735,4225.0,10.447761194029852
67,141929,California,0,100,100,0,1,1,0,5.0,3.0,3,3,1,6.0,4.79,0,1.0,1.32,1,57,17462.68656716418,4198.0,8.955223880597014
68,142776,California,0,100,88,1,1,1,0,3.0,1.0,2,2,1,13.0,4.92,0,1.0,3.37,0,17,9847.014925373134,4196.0,19.402985074626866
69,146589,California,0,100,97,1,1,1,0,4.0,2.0,3,2,1,20.0,4.95,0,1.0,21.84,1,58,38961.19402985075,4190.0,29.850746268656717
70,148358,California,0,100,50,0,1,1,0,6.333333333333333,8.166666666666666,1,3,1,9.0,4.756666666666667,1,4.0,2.693333333333333,1,34,3922.3880597014927,4187.333333333333,40.298507462686565
71,149525,California,0,100,96,0,1,1,0,4.0,2.0,2,2,1,1.0,5.0,0,1.0,0.12,1,16,6358.208955223881,4186.0,1.492537313432836
72,151573,California,0,100,95,0,1,1,0,4.0,1.0,1,2,1,21.0,4.66,0,1.0,1.76,1,34,11659.701492537313,4183.0,31.34328358208955
73,155173,California,0,100,100,1,1,1,2,1.6,1.0,1,1,1,33.4,4.82,1,6.0,6.618,1,43,19561.194029850747,4179.0,249.2537313432836
74,159886,California,0,90,94,0,1,1,0,3.5,1.1666666666666667,1,2,1,8.833333333333334,4.62,1,6.0,1.1066666666666667,1,35,190388.05970149254,4172.0,79.1044776119403
75,160060,California,0,100,100,0,1,0,0,2.0,1.0,1,1,1,14.0,5.0,0,1.0,4.2,1,44,8149.253731343284,4171.0,20.895522388059703
76,160505,California,0,100,100,0,1,1,0,3.0,1.0,1,1,1,5.0,4.77,1,1.0,1.41,1,29,791.044776119403,4171.0,7.462686567164179
77,160557,California,1,100,81,0,1,1,2,1.0,1.0,1,1,1,9.0,4.86,0,1.0,0.43,1,30,5171.641791044776,4170.0,13.432835820895523
78,161668,California,2,100,0,0,1,1,2,2.0,1.0,1,1,1,0.0,4.87,0,1.0,0.13,1,23,0.0,4169.0,0.0
79,164018,California,2,100,100,0,1,1,2,1.0,1.0,1,1,1,1.0,4.8,0,1.0,0.1,1,24,2731.3432835820895,4167.0,1.492537313432836
80,165603,California,1,100,91,1,1,1,0,4.0,1.0,0,2,1,40.0,4.99,0,1.0,3.56,1,35,23104.4776119403,4164.0,59.701492537313435
81,168116,California,1,100,64,0,1,1,0,4.0,2.5,2,2,1,8.0,4.75,0,1.0,1.08,1,21,13182.089552238807,4162.0,11.940298507462687
82,168416,California,3,0,100,0,1,1,2,1.0,1.5,1,1,1,2.0,4.5,0,1.0,0.27,1,21,6089.552238805971,4162.0,2.985074626865672
83,171749,Florida,0,100,83,1,1,1,0,2.0,1.0,1,1,1,0.0,4.92,0,1.0,0.19,1,57,0.0,4177.0,0.0
84,173481,California,0,100,100,1,1,1,0,2.0,1.0,1,1,1,2.0,4.91,0,1.0,0.85,1,27,10208.955223880597,4158.0,2.985074626865672
85,175264,California,1,100,0,0,1,0,2,2.0,1.5,1,2,1,0.0,4.3,0,1.0,0.09,1,22,0.0,4158.0,0.0
86,181234,California,1,100,100,1,1,1,0,2.0,1.0,1,1,1,3.0,4.85,1,1.0,1.35,1,28,8059.701492537312,4152.0,4.477611940298507
87,189473,California,0,100,92,0,1,1,0,3.0,1.0,0,2,1,28.0,4.65,0,1.0,2.3,1,28,3134.3283582089553,4145.0,41.791044776119406
88,190861,California,0,100,85,0,1,1,2,2.0,1.0,1,1,1,7.5,4.955,0,2.0,0.87,1,53,3567.1641791044776,4143.0,22.388059701492537
89,191464,California,0,100,97,0,1,1,0,11.333333333333334,4.0,5,7,1,13.666666666666666,4.593333333333333,1,3.0,1.5899999999999999,1,32,84119.25373134328,4143.0,61.19402985074627
90,193390,California,1,100,100,1,1,1,0,5.0,1.0,2,2,1,2.0,4.94,0,1.0,2.32,1,37,15761.194029850747,4141.0,2.985074626865672
91,193648,California,0,100,100,0,1,1,0,1.0,1.0,1,1,1,1.0,4.0,1,1.0,1.0,1,46,5373.134328358209,4140.0,1.492537313432836
92,195656,California,0,100,93,0,1,1,2,2.0,1.5,1,1,1,4.666666666666667,4.3133333333333335,0,3.0,0.73,1,45,2059.7014925373132,4139.0,20.895522388059703
93,195697,California,2,97,93,0,1,1,2,2.2857142857142856,1.0,1,1,1,21.714285714285715,4.412857142857143,0,7.0,1.3499999999999999,1,20,15985.074626865671,4139.0,226.86567164179104
94,199392,Florida,1,95,63,0,1,1,0,3.0,1.0,1,1,1,1.0,5.0,0,2.0,1.0,1,50,895.5223880597016,4152.0,1.492537313432836
95,200883,California,1,100,92,0,1,0,0,2.0,1.0,0,1,1,3.0,4.875,0,4.0,0.305,1,18,26373.13432835821,4133.0,8.955223880597016
96,201092,California,0,100,95,1,1,1,0,6.0,2.0,3,3,1,7.0,5.0,0,1.0,1.52,1,59,15671.641791044778,4131.0,10.447761194029852
97,201232,California,0,100,100,0,1,1,0,2.0,1.5,1,1,1,4.0,4.75,1,1.0,0.12,1,26,8149.253731343284,4133.0,5.970149253731344
98,201467,California,1,100,78,1,1,1,0,4.0,1.0,2,2,1,2.0,4.93,0,2.0,0.87,1,39,13880.597014925374,4133.0,2.985074626865672
99,201878,California,0,100,44,0,1,1,0,6.0,2.0,3,3,1,6.0,5.0,0,1.0,0.35,1,39,11513.731343283582,4132.0,8.955223880597014
100,203732,California,1,100,67,0,1,1,0,2.0,1.0,1,1,1,0.0,4.71,0,1.0,1.47,1,35,0.0,4129.0,0.0
101,204513,California,0,100,100,1,1,1,0,3.0,1.0,1,2,1,82.0,4.96,0,1.0,9.8,1,31,558089.5522388059,4129.0,122.38805970149254
102,205425,California,1,100,60,1,1,1,0,4.5,1.25,1,2,1,5.0,4.84,0,2.0,1.965,1,29,13432.835820895523,4129.0,14.925373134328359
103,208548,Florida,1,100,50,0,1,1,0,7.0,3.0,3,4,1,2.0,4.33,0,1.0,0.15,1,38,20522.388059701494,4143.0,2.985074626865672
104,210344,California,1,95,90,1,1,1,0,4.5,1.5,2,2,1,40.0,4.9,0,2.0,2.94,1,25,38274.62686567164,4124.0,119.40298507462687
105,211786,California,0,100,93,1,1,1,2,2.0,1.0,1,1,1,35.0,4.95,0,1.0,1.91,1,26,13059.701492537313,4123.0,52.23880597014925
106,212445,California,0,100,80,1,1,1,0,2.0,1.0,0,1,1,8.0,4.63,0,2.0,6.67,1,37,32895.522388059704,4121.0,11.940298507462687
