,host_id,host_response_time,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_identity_verified,room_type,accommodates,bedrooms,beds,availability_365,number_of_reviews_l30d,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month,county,essentials,other_amenities,bathrooms_number,number_host_verifications,host_experience,annual_listing_revenue
29000,266606258,0,89,0,1,1,2,2,1,1,48,1,3.2,1,4,0.22,0,1,23,1.0,1,2,322.5
29001,144636,0,60,0,2,1,0,6,3,1,163,0,5.0,0,1,0.39,0,0,33,2.5,2,11,31500.0
29004,151544836,1,94,0,3,1,2,2,1,1,0,0,4.86,0,3,0.23,0,1,18,1.0,8,4,180.0
29006,184713473,0,98,0,10,1,2,3,1,2,348,2,4.81,0,8,2.08,0,1,31,1.0,6,3,4132.5
29007,820504,2,100,1,1,1,0,2,1,1,318,0,4.9,0,1,0.96,0,1,26,1.0,5,10,10800.0
29011,66134693,0,100,1,1,1,0,4,1,2,27,7,4.86,1,1,7.03,0,1,42,1.0,9,5,16965.0
29012,151544836,1,94,0,3,1,2,2,1,1,0,0,5.0,0,3,0.2,0,1,18,1.0,8,4,180.0
29013,23834177,2,100,1,2,1,0,2,1,1,350,1,4.82,0,1,0.63,0,1,26,1.0,5,7,10125.0
29015,184713473,0,98,0,10,1,2,2,1,1,361,0,4.66,1,8,1.72,0,1,32,1.0,6,3,1080.0
29016,184713473,0,98,0,10,1,2,2,1,1,359,2,4.67,1,8,1.72,0,1,32,1.0,6,3,2607.0
29017,55331519,0,100,1,0,1,2,2,1,1,365,0,4.83,1,1,2.88,0,1,21,1.0,4,5,4275.0
29018,184713473,0,98,0,10,1,2,2,1,1,352,1,4.78,1,8,2.15,0,1,30,1.0,6,3,4672.5
29019,184713473,0,98,0,10,1,0,3,1,2,347,2,4.55,0,8,3.37,0,1,32,1.0,6,3,8418.0
29021,184713473,0,98,0,10,1,0,6,3,4,333,1,4.6,0,8,3.24,0,1,32,1.0,6,3,17842.5
29022,110658797,0,100,1,5,1,0,11,4,13,338,0,4.44,0,4,0.34,0,1,44,3.0,6,4,18945.0
29023,5229947,3,0,0,1,1,2,2,1,1,362,0,5.0,0,1,0.07,0,1,22,1.0,5,8,1575.0
29024,268450118,0,97,1,1,1,0,8,4,4,12,6,4.93,0,1,2.88,0,1,40,2.0,5,2,66316.8
29025,6454434,1,96,0,4,1,0,13,4,7,190,0,4.88,0,2,0.81,0,1,32,2.5,4,8,10125.0
29027,268474880,0,83,0,6,0,3,6,1,1,89,0,3.67,1,6,0.18,0,1,15,2.0,1,2,1023.0
29029,173752363,3,33,0,2,1,2,1,1,1,56,0,5.0,0,3,0.05,0,1,10,1.0,4,3,292.5
29030,8398671,1,91,1,45,1,0,6,3,4,287,2,4.74,0,40,3.0,0,1,58,2.0,7,8,38520.0
29031,264163479,1,57,0,2,1,0,4,2,2,365,0,3.0,0,1,0.13,0,1,34,1.0,8,2,13500.0
29032,18530088,0,44,1,38,1,0,3,1,2,271,0,4.67,0,31,0.2,0,1,51,1.0,5,7,31548.0
29034,48005494,0,97,0,1106,1,0,2,1,1,0,0,4.17,1,135,0.25,0,1,33,1.0,6,6,8550.0
29036,131394669,2,100,0,1,1,2,2,1,1,183,0,5.0,0,1,0.46,0,1,18,1.0,4,4,6030.0
29037,56849924,3,33,0,1,1,0,2,1,2,0,0,4.26,0,1,0.98,0,1,22,1.0,6,5,4275.0
29042,64653821,0,100,0,1,1,0,2,2,2,141,0,4.46,0,1,0.53,0,1,30,1.0,5,5,7110.0
29043,245695169,0,75,0,11,1,2,3,1,2,365,0,4.43,0,9,0.23,0,1,9,1.0,5,2,4275.0
29044,245695169,0,75,0,11,1,2,3,1,3,365,0,4.68,0,9,0.71,0,1,12,1.0,5,2,3375.0
29045,245695169,0,75,0,11,1,2,2,1,2,365,0,4.0,0,9,0.04,0,1,9,1.0,5,2,2700.0
29046,245695169,0,75,0,11,1,2,5,1,4,365,0,4.6,0,9,0.38,0,1,19,1.0,5,2,3375.0
29047,177074176,0,100,0,2,1,0,4,1,2,76,2,4.68,1,1,2.44,0,1,28,1.0,4,3,14430.0
29050,100307715,0,54,1,26,1,0,4,1,2,341,0,4.5,0,23,0.14,0,1,40,1.0,6,5,5805.0
