,id,host_response_time,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,minimum_nights,maximum_nights,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,county,essentials,other_amenities,total_bookings,annual_listing_revenue
0,57818,0,85,0,1,1,26.0167,-80.12437,0,6,1.0,2,2,3,29,15,4.61,4.7,4.6,5.0,4.96,4.88,4.7,0,1,1,1,57,22.388059701492537,5261.194029850746
1,69824,0,60,0,1,1,25.97641,-80.12052,0,6,2.0,2,4,30,365,1,4.0,5.0,5.0,5.0,4.0,5.0,4.0,0,2,1,0,19,1.492537313432836,208.95522388059703
2,83449,1,92,0,1,1,26.03392,-80.14201,0,5,1.0,2,3,7,180,1,4.74,4.84,4.84,4.89,4.89,4.79,4.89,0,8,1,1,19,1.492537313432836,147.76119402985074
3,105411,2,0,0,1,1,26.04678,-80.36809,0,5,2.0,3,3,4,180,1,5.0,5.0,5.0,5.0,5.0,4.25,5.0,0,1,1,0,13,1.492537313432836,350.74626865671644
4,129061,1,26,0,1,1,25.99332,-80.11887,0,7,2.0,2,3,14,1825,3,4.65,4.78,4.56,4.61,5.0,4.61,4.5,0,6,1,1,38,4.477611940298507,1410.4477611940297
5,129099,1,26,0,1,1,25.99416,-80.11969,0,5,1.5,1,2,10,365,1,4.32,4.46,4.3,4.39,4.35,4.55,4.09,0,6,1,0,29,1.492537313432836,335.82089552238807
6,148247,0,93,1,1,1,26.10698,-80.37118,2,1,1.5,1,1,7,1125,5,4.97,4.98,4.93,4.98,5.0,4.95,4.97,0,1,1,1,38,7.462686567164179,417.91044776119406
7,191160,2,0,0,1,0,26.30707,-80.07793,0,4,1.0,1,2,2,180,1,4.25,4.39,4.46,4.83,4.87,4.87,4.43,0,1,1,1,20,1.492537313432836,177.61194029850748
8,216046,1,96,0,1,1,26.00746,-80.19631,0,10,3.0,4,7,2,21,25,4.73,4.75,4.75,4.9,4.73,4.77,4.71,0,1,1,1,41,37.3134328358209,10597.014925373134
9,217990,1,26,0,1,1,25.9942,-80.11725,0,5,1.5,1,1,10,365,1,4.93,4.88,4.81,5.0,5.0,4.88,4.81,0,6,1,0,16,1.492537313432836,238.80597014925374
10,229773,0,91,1,1,0,26.11784,-80.11059,0,6,2.0,2,4,3,1125,16,4.84,4.86,4.77,4.9,4.9,5.0,4.78,1,1,1,1,36,23.880597014925375,15522.388059701494
12,241944,1,92,0,1,1,26.03392,-80.14201,0,2,1.0,1,1,7,28,1,4.89,4.7,4.7,4.9,5.0,4.7,4.8,0,8,1,1,20,1.492537313432836,149.2537313432836
13,256386,0,96,0,1,1,26.0274,-80.14268,0,4,1.0,2,2,2,365,34,4.83,4.88,4.87,4.92,4.89,4.64,4.78,0,4,1,1,52,50.74626865671642,8829.850746268656
14,302467,0,76,1,1,1,26.15081,-80.13361,0,4,2.0,2,2,3,365,10,4.78,4.76,4.8,4.97,4.95,4.65,4.74,0,3,1,1,52,14.925373134328359,2820.89552238806
15,307735,0,92,0,1,1,26.22994,-80.29244,2,2,1.0,1,1,2,30,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,2,1,1,54,5.970149253731344,388.05970149253733
16,308839,2,100,1,1,0,25.98577,-80.31657,2,2,1.0,1,1,180,305,1,4.96,4.96,4.94,4.89,4.98,4.87,4.83,0,2,1,1,43,1.492537313432836,68.65671641791045
17,320480,3,29,0,1,1,26.11315,-80.26487,0,6,3.0,3,3,7,1125,3,1.4,1.4,1.0,2.6,2.4,3.4,1.2,0,4,1,1,16,4.477611940298507,1343.283582089552
18,325734,0,96,0,1,1,26.02603,-80.14215,0,2,1.0,0,1,2,365,26,4.78,4.83,4.89,4.91,4.87,4.73,4.76,0,4,1,1,57,38.80597014925373,2367.1641791044776
21,349538,0,99,0,1,1,26.13588,-80.10394,0,6,1.0,1,3,2,30,4,4.65,4.8,4.83,4.4,4.76,4.7,4.63,1,9,1,1,41,5.970149253731344,2561.1940298507466
22,366178,2,73,1,1,1,26.12588,-80.13675,0,2,1.0,1,1,7,365,3,4.78,4.86,4.68,4.91,5.0,5.0,4.73,0,2,1,1,30,4.477611940298507,671.641791044776
24,393982,2,73,1,1,1,26.12575,-80.13523,0,2,1.0,1,1,7,365,4,4.9,4.8,4.8,5.0,5.0,4.9,4.85,0,2,1,1,30,5.970149253731344,895.5223880597016
26,436596,1,0,0,1,0,26.21706,-80.12132,0,6,3.0,3,3,7,365,1,4.0,3.5,3.0,5.0,5.0,3.5,2.5,0,1,1,1,25,1.492537313432836,574.6268656716418
27,438860,0,100,1,1,1,26.17716,-80.09776,0,4,1.0,1,2,3,1125,24,4.77,4.9,4.82,4.96,4.97,4.89,4.83,1,1,1,1,33,35.82089552238806,5695.522388059701
30,484515,1,26,0,1,1,25.99377,-80.1183,0,7,2.0,2,5,13,1125,2,4.61,4.88,4.48,4.76,4.6,4.64,4.44,0,6,1,0,19,2.985074626865672,886.5671641791046
31,533847,2,100,1,1,0,25.98779,-80.3169,2,1,1.0,1,1,180,305,3,5.0,4.98,4.95,5.0,5.0,5.0,5.0,0,2,1,1,44,4.477611940298507,143.28358208955223
32,577098,1,95,1,1,1,26.13392,-80.2358,2,2,1.0,1,1,10,21,8,5.0,5.0,4.98,5.0,5.0,4.96,4.93,0,3,1,1,36,11.940298507462687,692.5373134328358
33,592583,0,99,0,1,1,26.13621,-80.10403,0,8,2.0,2,4,2,30,1,4.7,4.76,4.81,4.67,4.81,4.62,4.62,1,9,1,1,46,1.492537313432836,744.7761194029852
34,624127,2,100,0,1,0,26.00656,-80.25355,2,1,1.0,1,1,2,250,2,4.58,4.73,4.08,4.77,4.92,4.69,4.58,0,1,1,1,22,2.985074626865672,119.40298507462687
35,658344,0,99,0,1,1,26.13804,-80.10532,0,6,1.0,1,3,2,30,1,4.45,4.6,4.75,4.8,4.75,4.65,4.45,1,9,1,1,39,1.492537313432836,744.7761194029852
37,680331,0,100,0,1,1,25.98637,-80.11867,0,3,1.5,1,1,2,60,3,4.55,4.5,4.67,4.67,5.0,4.25,4.17,1,2,1,1,28,4.477611940298507,671.641791044776
38,695109,0,99,0,1,1,26.13648,-80.10606,0,6,1.0,1,1,2,30,2,4.47,4.55,4.6,4.55,4.75,4.65,4.47,1,9,1,1,42,2.985074626865672,1280.5970149253733
39,695242,0,99,0,1,1,26.13748,-80.10556,0,8,2.0,2,4,2,30,4,4.8,4.94,4.91,4.62,4.86,4.79,4.76,1,9,1,1,42,5.970149253731344,2561.1940298507466
41,722515,0,100,0,1,1,26.0073,-80.15713,0,10,5.0,5,6,3,1124,38,4.8,4.81,4.72,4.95,4.92,4.79,4.77,1,10,1,1,61,56.71641791044776,87116.41791044775
42,724829,0,100,0,1,0,26.16462,-80.10483,2,2,1.0,1,2,1,30,1,4.91,5.0,5.0,5.0,5.0,4.91,5.0,0,1,1,1,33,1.492537313432836,231.34328358208955
43,765598,1,78,0,1,1,26.16633,-80.11567,0,6,2.0,3,3,3,365,16,4.79,4.78,4.74,4.9,4.94,4.7,4.66,0,1,1,1,64,23.880597014925375,8740.298507462687
46,817635,0,98,0,1,1,26.32085,-80.14409,0,4,2.0,2,3,7,1125,7,4.17,4.13,4.3,4.65,4.43,4.39,4.09,0,1,1,1,39,10.447761194029852,1034.3283582089553
47,844392,0,87,0,1,1,25.98623,-80.1194,0,5,1.5,1,3,5,1125,1,4.43,4.29,3.71,4.86,4.71,4.29,4.43,0,50,1,1,36,1.492537313432836,291.044776119403
48,901497,1,92,0,1,1,26.03392,-80.14201,0,2,1.0,1,1,7,180,3,4.39,4.52,4.26,4.79,4.79,4.34,4.59,0,8,1,1,17,4.477611940298507,246.2686567164179
49,912964,1,98,0,1,1,25.98925,-80.11882,0,8,2.0,2,5,2,365,19,4.41,4.45,4.55,4.5,4.52,4.71,4.42,0,1,1,0,34,28.35820895522388,4934.328358208955
51,916342,1,92,0,1,1,26.03392,-80.14201,0,3,1.0,1,2,7,180,2,4.75,4.53,4.63,5.0,4.95,4.74,4.74,0,8,1,0,13,2.985074626865672,194.02985074626866
52,980856,0,89,0,1,1,26.25763,-80.23714,0,4,2.0,2,2,3,1125,26,4.5,4.69,4.55,4.81,4.77,4.73,4.57,0,1,1,1,18,38.80597014925373,3880.597014925373
53,998144,0,87,0,1,1,25.98643,-80.11813,0,7,2.0,2,4,7,1125,2,4.8,4.4,4.6,4.8,5.0,5.0,4.6,0,50,1,1,37,2.985074626865672,1191.044776119403
54,1002995,0,50,0,1,1,26.17976,-80.22598,2,2,1.0,1,1,1,180,1,4.45,4.45,4.35,4.6,4.65,4.45,4.6,0,12,1,1,24,1.492537313432836,58.2089552238806
55,1038248,1,79,0,1,1,26.01895,-80.25821,0,6,2.0,3,3,7,1125,1,4.88,4.75,4.75,4.94,4.94,4.63,4.75,0,1,1,1,51,1.492537313432836,440.2985074626866
56,1053872,2,5,0,1,1,26.11499,-80.11301,0,10,4.0,5,5,6,1125,1,4.75,4.75,4.5,4.75,4.75,5.0,4.5,0,1,1,1,19,1.492537313432836,1791.0447761194032
57,1069095,0,50,0,1,1,26.21588,-80.22835,2,2,1.0,1,1,1,1125,1,4.64,4.64,4.71,4.86,4.93,3.93,4.71,0,12,1,1,12,1.492537313432836,73.13432835820896
58,1076949,0,99,1,1,0,26.11777,-80.15773,0,4,1.0,1,1,2,150,6,4.84,4.75,4.68,4.86,4.95,4.73,4.59,0,1,1,1,29,8.955223880597014,1164.1791044776119
59,1092175,0,87,0,1,1,25.9867,-80.11926,0,6,2.0,2,4,10,1125,1,4.0,4.0,4.33,4.5,4.67,4.5,4.17,0,50,1,1,37,1.492537313432836,371.64179104477614
60,1097406,1,93,0,1,0,26.01865,-80.16034,0,7,2.0,3,3,1,1125,22,4.66,4.66,4.55,4.88,4.89,4.53,4.56,0,1,1,1,35,32.83582089552239,8176.119402985075
61,1115250,0,89,1,1,1,26.15727,-80.15172,2,2,1.5,1,1,1,14,24,4.96,4.95,4.95,4.96,4.95,4.89,4.9,0,2,1,1,40,35.82089552238806,4191.044776119403
62,1115473,0,89,1,1,1,26.15898,-80.15189,2,2,1.5,1,1,1,14,14,4.89,4.94,4.95,4.9,4.9,4.73,4.86,0,2,1,1,42,20.895522388059703,2444.7761194029854
63,1117425,1,97,0,1,1,26.19502,-80.09752,0,4,1.0,1,2,5,1125,15,4.39,4.57,4.26,4.89,4.74,4.85,4.48,0,2,1,1,61,22.388059701492537,3000.0
64,1118565,1,97,0,1,1,26.19206,-80.09761,0,4,1.0,1,2,5,1125,16,4.24,4.53,4.37,4.68,4.67,4.84,4.29,0,2,1,1,51,23.880597014925375,3080.5970149253735
65,1127112,0,98,0,1,1,26.01299,-80.11543,0,3,1.0,0,2,3,90,16,4.22,4.46,4.11,4.53,4.71,4.63,4.28,1,18,1,1,25,23.880597014925375,1695.5223880597016
67,1147098,0,90,0,1,1,26.00715,-80.11813,0,6,3.0,3,3,3,1125,7,4.86,4.93,4.86,5.0,4.93,5.0,4.86,0,6,1,1,56,10.447761194029852,5119.402985074627
68,1149806,1,100,1,1,1,26.17082,-80.13079,0,4,1.0,1,3,3,1125,22,4.88,4.9,4.76,4.99,4.98,4.86,4.85,1,1,1,1,53,32.83582089552239,4597.014925373134
69,1173175,2,90,1,1,1,26.02862,-80.16496,0,6,3.0,3,3,1,1125,9,4.95,4.88,4.78,4.95,4.95,4.71,4.78,0,1,1,1,36,13.432835820895523,10571.641791044776
70,1231564,1,95,0,1,0,26.31783,-80.17438,2,2,1.0,1,1,4,30,9,4.78,4.81,4.83,4.93,4.87,4.8,4.77,0,1,1,1,36,13.432835820895523,994.0298507462687
71,1293741,0,96,1,1,1,25.98707,-80.11925,0,7,2.0,2,3,4,120,39,4.85,4.93,4.82,4.96,4.98,4.87,4.79,0,1,1,1,39,58.208955223880594,20373.134328358206
72,1297784,1,98,1,1,1,26.30155,-80.09108,0,8,2.0,4,6,2,1125,26,4.79,4.84,4.74,4.91,4.94,4.83,4.8,1,1,1,1,52,38.80597014925373,21964.17910447761
73,1301449,0,97,0,1,1,25.97665,-80.22364,0,6,2.0,3,5,5,28,14,4.82,4.93,4.86,4.95,4.99,4.53,4.84,0,1,1,1,55,20.895522388059703,4764.179104477613
74,1305586,0,78,0,1,1,25.99211,-80.11724,0,4,1.5,1,2,29,1125,3,4.2,5.0,4.6,5.0,5.0,5.0,5.0,0,2,1,1,20,4.477611940298507,537.3134328358209
75,1312899,3,26,0,1,1,26.12323,-80.32615,0,5,2.0,2,4,7,185,5,4.74,4.88,4.79,4.88,4.93,4.88,4.78,0,3,1,1,30,7.462686567164179,932.8358208955224
77,1375343,0,96,0,1,1,26.02567,-80.14201,0,2,1.0,1,1,2,365,35,4.76,4.83,4.83,4.84,4.88,4.58,4.79,0,4,1,1,49,52.23880597014925,3500.0
78,1376873,1,64,0,1,1,26.02369,-80.11542,0,4,1.0,1,2,3,45,18,4.9,4.9,4.95,4.95,4.95,4.86,4.81,0,1,1,1,19,26.865671641791046,6447.761194029851
79,1408900,1,92,0,1,1,26.03392,-80.14201,0,6,2.0,2,5,7,180,5,4.6,4.6,4.43,4.8,4.8,4.74,4.57,0,8,1,0,22,7.462686567164179,895.5223880597015
80,1488341,0,87,0,1,1,25.98819,-80.11971,0,6,2.0,2,4,14,1125,1,4.33,4.44,4.44,4.56,4.78,4.89,4.33,0,50,1,1,37,1.492537313432836,371.64179104477614
83,1559232,2,65,0,1,0,26.048735,-80.113045,0,5,2.0,2,2,5,365,5,4.94,5.0,4.83,5.0,5.0,4.94,4.89,0,1,1,1,47,7.462686567164179,5559.701492537313
84,1602075,0,60,1,1,1,26.32091,-80.09154,0,10,2.5,4,6,4,1125,21,4.76,4.79,4.57,4.87,4.83,4.71,4.7,0,1,1,0,33,31.34328358208955,14104.477611940298
85,1646485,0,67,0,1,1,26.22763,-80.08991,0,6,3.5,3,8,7,365,4,4.8,5.0,5.0,5.0,5.0,4.8,4.8,0,1,1,1,43,5.970149253731344,5074.626865671642
86,1658551,0,94,0,1,1,25.98869,-80.11806,0,4,1.0,1,2,4,40,4,4.74,4.47,4.47,4.26,4.68,4.84,4.42,0,10,1,0,39,5.970149253731344,1313.4328358208957
90,1682792,0,98,1,1,0,26.02816,-80.11484,0,2,1.0,1,1,3,1125,23,4.87,4.98,4.85,5.0,4.94,4.98,4.95,1,1,1,1,32,34.32835820895522,2574.6268656716416
91,1717935,0,83,1,1,1,26.12559,-80.25031,2,2,1.5,1,2,20,180,1,4.94,4.94,4.94,5.0,5.0,4.94,4.94,0,3,1,1,36,1.492537313432836,89.55223880597015
92,1744871,2,89,0,1,1,26.21254,-80.09187,0,2,1.0,0,1,7,1125,12,4.72,4.74,4.77,4.85,4.82,4.82,4.72,0,1,1,0,13,17.91044776119403,2489.55223880597
93,1750221,2,50,0,1,1,26.21703,-80.22507,2,2,1.5,1,1,1,1125,1,3.0,3.0,5.0,3.0,3.0,5.0,4.5,0,1,1,1,17,1.492537313432836,67.16417910447761
94,1751870,0,88,1,1,1,26.0204,-80.15441,0,4,2.0,2,2,30,300,3,4.55,4.65,4.26,4.87,4.84,4.19,4.52,0,2,1,1,39,4.477611940298507,474.6268656716417
95,1773712,1,84,1,1,0,26.10882,-80.21644,0,9,2.0,3,4,3,90,12,4.84,4.87,4.81,4.95,4.98,4.7,4.81,0,1,1,1,37,17.91044776119403,5337.31343283582
96,1796704,3,26,0,1,1,26.12808,-80.3167,0,4,2.0,2,3,21,1124,1,4.84,4.84,4.8,4.8,4.76,4.68,4.72,0,3,1,1,21,1.492537313432836,186.56716417910448
97,1819422,1,96,0,1,1,26.20035,-80.12661,0,6,3.0,3,3,2,365,5,4.5,4.69,4.77,4.81,4.88,4.85,4.62,0,1,1,1,62,7.462686567164179,4850.746268656717
98,1858886,1,54,0,1,1,26.21185,-80.10533,0,8,3.0,4,6,2,365,2,3.94,4.19,4.31,4.75,4.81,4.94,3.81,0,8,1,1,38,2.985074626865672,1701.4925373134329
99,1865860,0,79,1,1,0,26.17391,-80.1509,0,3,1.0,0,2,3,1125,37,4.92,4.95,4.95,4.95,4.91,4.77,4.87,0,3,1,1,30,55.223880597014926,4970.149253731343
101,1876292,0,62,0,1,1,26.30344,-80.08797,0,6,2.0,3,4,2,1125,4,4.7,4.8,4.6,5.0,5.0,4.5,4.3,0,1,1,1,42,5.970149253731344,3880.5970149253735
102,1901619,0,94,1,1,1,26.218,-80.10078,0,7,2.0,3,5,7,365,14,4.93,4.9,4.76,5.0,4.9,4.93,4.76,0,1,1,1,36,20.895522388059703,8358.208955223881
103,1909627,0,81,1,1,1,26.12802,-80.1039,0,4,2.0,2,2,2,365,8,4.84,4.78,4.95,4.89,4.89,4.92,4.64,0,1,1,1,42,11.940298507462687,12561.194029850747
104,1911406,0,83,1,1,1,26.13293,-80.13682,0,2,1.0,1,1,30,130,1,4.92,4.92,4.46,4.77,4.69,4.85,4.62,0,1,1,1,57,1.492537313432836,249.2537313432836
105,1963560,0,99,1,1,1,26.16862,-80.11358,2,2,1.0,0,1,1,1125,1,4.83,4.83,4.83,5.0,5.0,5.0,4.83,0,23,1,1,37,1.492537313432836,244.7761194029851
106,1965226,2,87,0,1,1,26.02607,-80.11466,0,2,1.0,1,1,3,1125,22,4.73,4.73,4.6,4.88,4.76,4.92,4.68,0,4,1,1,27,32.83582089552239,3776.119402985075
108,1987335,0,94,0,1,1,25.98869,-80.11806,0,4,1.0,1,3,4,45,7,4.61,4.8,4.97,4.57,4.84,4.9,4.57,1,10,1,0,44,10.447761194029852,2298.507462686567
109,1989116,2,87,0,1,1,26.02587,-80.11573,0,4,1.0,1,1,3,1125,27,4.59,4.66,4.65,4.9,4.66,4.94,4.73,0,4,1,1,21,40.298507462686565,4634.328358208955
110,2007538,0,98,1,1,0,26.14176,-80.13035,0,4,1.0,1,1,2,27,44,4.84,4.91,4.91,4.94,4.94,4.83,4.84,0,3,1,1,31,65.67164179104478,6435.820895522388
111,2011721,2,87,0,1,1,26.0259,-80.11646,0,2,1.0,0,1,3,1125,24,4.56,4.72,4.55,4.69,4.62,4.9,4.64,0,4,1,1,20,35.82089552238806,3402.9850746268653
112,2022083,0,95,0,1,1,26.09971,-80.15277,2,1,1.0,1,1,30,1125,1,4.83,4.85,4.69,4.85,4.92,4.54,4.92,0,5,1,0,10,1.492537313432836,97.01492537313433
113,2022117,0,70,1,1,1,26.02633,-80.23914,2,1,2.0,1,1,3,60,12,4.88,4.98,4.95,4.93,4.95,4.88,4.9,0,3,1,1,31,17.91044776119403,949.2537313432834
114,2023131,0,95,0,1,1,26.09855,-80.15301,2,1,1.0,1,1,30,1125,1,4.63,4.71,4.27,4.93,4.87,4.93,4.73,0,5,1,0,10,1.492537313432836,59.701492537313435
115,2023138,0,95,0,1,1,26.09871,-80.15148,2,2,1.0,1,1,30,1125,1,4.8,4.8,4.53,4.87,4.93,4.73,4.6,0,5,1,0,10,1.492537313432836,104.47761194029852
116,2026631,1,57,0,1,1,26.02998,-80.14141,0,4,1.0,2,2,3,14,21,4.67,4.75,4.57,4.96,4.94,4.74,4.75,0,1,1,1,57,31.34328358208955,6017.910447761194
117,2028061,2,71,0,1,0,26.2276,-80.26648,2,1,1.5,1,1,1,1125,8,5.0,4.94,4.88,4.94,5.0,4.76,4.94,0,1,1,1,30,11.940298507462687,537.3134328358209
118,2034472,0,95,0,1,1,26.09889,-80.15126,2,1,1.0,0,1,30,1125,6,4.7,4.85,4.44,4.56,4.7,4.78,4.7,0,5,1,1,15,8.955223880597014,537.3134328358209
119,2043616,0,5,0,1,0,25.9775,-80.12035,0,2,1.0,2,2,60,122,1,3.33,4.0,3.0,4.0,3.67,4.67,3.33,0,1,1,1,17,1.492537313432836,114.92537313432837
120,2052263,0,78,0,1,1,26.19932,-80.11357,0,4,1.0,2,3,30,1125,7,4.78,4.9,4.79,4.88,4.8,4.67,4.65,0,1,1,1,62,10.447761194029852,2089.5522388059703
121,2057228,0,81,1,1,1,26.11288,-80.36807,2,2,2.5,1,1,1,1125,4,4.9,4.84,4.9,4.86,4.92,4.88,4.69,0,2,1,1,57,5.970149253731344,388.05970149253733
122,2065724,3,29,0,1,1,26.11183,-80.26637,2,2,1.0,1,1,7,120,1,4.5,5.0,4.5,5.0,5.0,5.0,5.0,0,4,1,1,18,1.492537313432836,179.1044776119403
123,2071609,2,97,0,1,1,26.17837,-80.09627,2,4,1.0,2,2,4,1125,16,4.25,4.38,4.45,4.53,4.56,4.81,4.26,0,2,1,1,32,23.880597014925375,6686.567164179105
124,2108829,2,97,0,1,1,26.18015,-80.09637,2,4,1.0,1,1,4,1125,10,4.32,4.46,4.6,4.76,4.66,4.58,4.38,0,2,1,1,26,14.925373134328359,3283.582089552239
125,2116588,0,99,0,1,1,26.09111,-80.1884,0,12,2.0,4,6,4,1125,52,4.5,4.49,4.46,4.76,4.7,4.69,4.53,0,6,1,1,31,77.61194029850746,24370.149253731342
126,2150323,1,95,1,1,1,26.1332,-80.23615,2,2,1.0,1,1,10,21,13,4.9,4.94,4.88,4.96,5.0,4.92,4.9,0,3,1,1,29,19.402985074626866,970.1492537313433
127,2177017,0,96,1,1,1,26.25055,-80.22174,0,8,2.0,4,4,7,180,11,4.74,4.81,4.89,4.87,4.83,4.59,4.59,0,2,1,1,57,16.417910447761194,8110.44776119403
129,2209568,0,76,0,1,1,25.9873,-80.11862,0,4,1.5,2,3,2,1125,24,4.64,4.6,4.4,4.62,4.79,4.88,4.57,0,1,1,1,67,35.82089552238806,7020.895522388059
130,2210837,1,56,1,1,1,26.31309,-80.22417,2,2,1.0,1,1,3,30,10,4.79,4.91,4.87,4.94,4.94,4.9,4.73,0,1,1,1,38,14.925373134328359,1328.358208955224
131,2254312,1,97,1,1,1,26.18779,-80.09628,0,4,1.0,1,2,2,1125,59,4.92,4.92,4.95,4.91,4.94,4.94,4.91,0,4,1,1,33,88.05970149253731,10126.865671641792
132,2254548,0,99,0,1,1,26.16538,-80.23533,0,2,2.0,2,2,1,1125,1,4.94,4.81,4.88,4.81,4.88,4.69,4.88,0,1,1,1,18,1.492537313432836,191.044776119403
133,2262485,0,99,1,1,1,26.21094,-80.11977,0,2,1.0,0,1,1,1125,66,4.87,4.89,4.89,4.94,4.94,4.8,4.86,1,5,1,1,52,98.50746268656717,13692.537313432837
134,2274922,0,99,0,1,0,26.01166,-80.11576,0,4,1.0,0,3,2,30,34,4.16,4.45,4.05,4.26,4.37,4.58,4.42,1,1,1,1,37,50.74626865671642,8576.119402985074
135,2286016,2,71,0,1,1,26.01656,-80.16073,0,2,1.0,0,1,30,120,1,4.8,5.0,4.6,5.0,5.0,5.0,4.8,0,4,1,1,18,1.492537313432836,111.9402985074627
136,2302493,0,95,0,1,1,26.09834,-80.15305,2,1,1.0,1,1,30,1125,3,4.48,4.45,4.33,4.66,4.71,4.7,4.5,0,5,1,0,9,4.477611940298507,161.19402985074626
137,2311108,0,76,1,1,1,26.00034,-80.13695,2,2,1.0,1,1,1,30,5,4.81,4.81,5.0,5.0,4.75,4.88,4.69,0,1,1,1,66,7.462686567164179,805.9701492537314
138,2323501,0,100,0,1,1,25.98913,-80.1173,0,4,1.0,1,2,4,1125,12,4.6,4.75,4.6,4.7,4.79,4.77,4.53,0,5,1,1,36,17.91044776119403,4997.014925373134
139,2362039,0,70,1,1,1,26.02662,-80.23809,2,2,2.0,1,1,3,1125,1,4.7,4.8,4.8,5.0,4.9,4.4,4.7,0,3,1,1,20,1.492537313432836,79.1044776119403
140,2379359,0,100,1,1,1,26.13854,-80.10828,0,4,1.0,1,2,1,210,4,4.71,4.63,4.56,4.84,4.9,4.82,4.6,0,2,1,1,39,5.970149253731344,949.2537313432837
142,2410896,0,94,0,1,1,25.98869,-80.11806,0,6,2.0,2,4,4,40,4,4.57,4.85,4.74,4.75,4.82,4.75,4.68,0,10,1,1,29,5.970149253731344,1934.3283582089553
143,2452611,1,99,1,1,1,26.30278,-80.07947,0,3,1.0,1,1,14,60,4,5.0,4.95,4.95,5.0,5.0,4.86,4.95,1,5,1,1,38,5.970149253731344,1600.0
145,2500771,2,77,0,1,0,26.16192,-80.10211,0,6,2.0,2,2,3,1125,27,4.57,4.63,4.61,4.84,4.75,4.82,4.51,0,2,1,1,21,40.298507462686565,13016.41791044776
146,2501510,0,100,0,1,1,26.23896,-80.11834,0,2,1.0,1,1,5,31,7,4.88,5.0,4.82,5.0,5.0,4.59,4.88,0,1,1,1,35,10.447761194029852,1305.9701492537315
147,2509161,0,88,0,1,1,25.98582,-80.12661,0,2,1.0,1,1,7,1125,13,4.33,4.57,4.65,4.8,4.75,4.65,4.4,0,6,1,1,23,19.402985074626866,2153.731343283582
148,2540473,0,87,0,1,1,25.97873,-80.12049,0,7,2.0,3,4,25,1125,1,3.0,3.5,3.0,3.5,4.0,4.0,3.5,0,50,1,0,21,1.492537313432836,670.1492537313434
149,2553995,2,78,0,1,1,26.20995,-80.1268,0,8,2.0,3,4,3,30,1,4.0,4.33,4.17,4.5,4.5,4.33,4.0,0,2,1,0,13,1.492537313432836,461.1940298507463
152,2585581,1,81,1,1,1,26.04032,-80.3955,0,10,2.0,4,7,2,1125,13,4.89,4.93,4.89,4.92,4.97,4.77,4.8,0,1,1,1,36,19.402985074626866,12786.567164179105
153,2586608,1,77,0,1,0,25.98937,-80.11742,0,6,1.5,2,3,7,1125,5,4.73,4.71,4.73,4.68,4.78,4.67,4.75,0,6,1,1,36,7.462686567164179,2089.5522388059703
154,2600442,0,88,0,1,1,25.99562,-80.13638,0,2,1.5,1,1,30,365,3,4.86,4.9,4.76,5.0,4.9,4.9,4.86,0,6,1,1,20,4.477611940298507,402.98507462686564
155,2601484,1,56,0,1,1,26.18014,-80.236,2,2,1.0,1,1,3,14,3,4.38,4.45,4.59,4.5,4.66,4.34,4.62,0,1,1,1,41,4.477611940298507,246.2686567164179
156,2661579,2,71,0,1,1,26.01787,-80.15957,0,2,1.0,1,1,30,120,2,4.0,4.25,3.75,4.75,4.75,4.25,3.75,0,4,1,1,19,2.985074626865672,167.16417910447763
157,2693089,0,25,0,1,1,26.0216,-80.13359,2,2,1.0,1,2,3,120,1,5.0,5.0,4.8,5.0,5.0,4.6,4.4,1,2,1,1,49,1.492537313432836,156.71641791044777
158,2723385,2,71,0,1,1,26.01657,-80.16041,0,4,2.0,2,3,30,1125,2,4.33,4.22,4.11,4.78,4.56,4.67,4.22,0,4,1,1,22,2.985074626865672,292.53731343283584
159,2752488,0,43,0,1,1,26.00506,-80.1409,0,2,1.0,1,2,31,1125,1,4.83,4.94,4.78,5.0,4.94,4.83,4.61,0,1,1,1,52,1.492537313432836,186.56716417910448
161,2824039,0,99,1,1,1,26.13543,-80.12755,0,3,1.0,1,1,3,1125,23,4.73,4.85,4.62,4.91,4.91,4.83,4.75,0,4,1,1,32,34.32835820895522,3673.1343283582087
162,2842045,1,77,1,1,1,26.1374,-80.13076,0,8,2.0,3,3,3,1125,14,4.91,4.92,4.9,4.97,4.98,4.87,4.86,0,3,1,1,35,20.895522388059703,9925.37313432836
163,2863496,2,81,0,1,0,26.08569,-80.1733,2,2,1.0,1,2,1,31,12,4.21,4.43,4.5,4.36,4.36,4.36,4.5,0,1,1,1,33,17.91044776119403,2131.3432835820895
164,2886372,0,69,1,1,1,26.32053,-80.14706,0,6,2.0,3,4,6,365,6,4.82,4.76,4.76,4.88,4.88,4.88,4.94,0,4,1,1,30,8.955223880597014,1692.5373134328356
